0;0;3830178035
0;20;0
1;20;3832178061
1;20;3832678081
2;20;3832678098
2;20;3833178114
0;20;0
0;21;0
1;21;3835178149
1;21;3835678169
2;21;3835678186
2;21;3836178202
0;21;0
0;22;0
1;22;3838178237
1;22;3838678257
2;22;3838678274
2;22;3839178290
0;22;0
0;23;0
1;23;3841178325
1;23;3841678345
2;23;3841678362
2;23;3842178378
0;23;0
0;24;0
1;24;3844178413
1;24;3844678433
2;24;3844678450
2;24;3845178466
0;24;0
0;25;0
1;25;3847178501
1;25;3847678521
2;25;3847678540
2;25;3848178556
0;25;0
0;26;0
1;26;3850178591
1;26;3850678611
2;26;3850678628
2;26;3851178644
0;26;0
0;27;0
1;27;3853178679
1;27;3853678699
2;27;3853678716
2;27;3854178731
0;27;0
0;28;0
1;28;3856178766
1;28;3856678786
2;28;3856678803
2;28;3857178819
0;28;0
0;29;0
1;29;3859178854
1;29;3859678874
2;29;3859678891
2;29;3860178907
0;29;0
0;30;0
1;30;3862178942
1;30;3862678962
2;30;3862678979
2;30;3863178995
0;30;0
0;30;3865179032
