0;0;638284023
0;50;0
1;2197;640284046
1;2197;640284113
2;1900;640284125
2;1900;640284195
0;0;0
0;100;0
1;2197;642284224
1;2197;642284341
2;1900;642284354
2;1900;642284474
0;0;0
0;150;0
1;2197;644284503
1;2197;644284670
2;1900;644284682
2;1900;644284853
0;0;0
0;200;0
1;2197;646284882
1;2197;646285099
2;1900;646285112
2;1900;646285332
0;0;0
0;250;0
1;2197;648285361
1;2197;648285629
2;1900;648285641
2;1900;648285912
0;0;0
0;300;0
1;2197;650285941
1;2197;650286258
2;1900;650286270
2;1900;650286591
0;0;0
0;350;0
1;2197;652286620
1;2197;652286987
2;1900;652286999
2;1900;652287371
0;0;0
0;400;0
1;2197;654287400
1;2197;654287817
2;1900;654287829
2;1900;654288250
0;0;0
0;450;0
1;2197;656288281
1;2197;656288749
2;1900;656288762
2;1900;656289232
0;0;0
0;500;0
1;2197;658289261
1;2197;658289779
2;1900;658289791
2;1900;658290312
0;0;0
0;500;660290333
