0;0;16284039
0;1;0
1;1;18284063
1;1;18784083
2;1;18784099
2;1;19284114
0;1;0
0;2;0
1;2;21284147
1;2;21784166
2;2;21784183
2;2;22284198
0;2;0
0;3;0
1;3;24284232
1;3;24784250
2;3;24784267
2;3;25284282
0;3;0
0;4;0
1;4;27284316
1;4;27784334
2;4;27784351
2;4;28284366
0;4;0
0;5;0
1;5;30284402
1;5;30784421
2;5;30784437
2;5;31284452
0;5;0
0;6;0
1;6;33284486
1;6;33784505
2;6;33784521
2;6;34284536
0;6;0
0;7;0
1;7;36284570
1;7;36784589
2;7;36784605
2;7;37284620
0;7;0
0;8;0
1;8;39284653
1;8;39784673
2;8;39784689
2;8;40284704
0;8;0
0;9;0
1;9;42284738
1;9;42784757
2;9;42784773
2;9;43284788
0;9;0
0;10;0
1;10;45284822
1;10;45784841
2;10;45784857
2;10;46284872
0;10;0
0;11;0
1;11;48284906
1;11;48784926
2;11;48784943
2;11;49284959
0;11;0
0;12;0
1;12;51284993
1;12;51785013
2;12;51785030
2;12;52285044
0;12;0
0;13;0
1;13;54285078
1;13;54785098
2;13;54785115
2;13;55285129
0;13;0
0;14;0
1;14;57285163
1;14;57785182
2;14;57785198
2;14;58285213
0;14;0
0;14;60285248
