0;0;104041042
0;50;0
1;2197;106041068
1;2197;106041136
2;1900;106041148
2;1900;106041219
0;0;0
0;100;0
1;2197;108041248
1;2197;108041366
2;1900;108041379
2;1900;108041499
0;0;0
0;150;0
1;2197;110041529
1;2197;110041697
2;1900;110041709
2;1900;110041880
0;0;0
0;200;0
1;2197;112041911
1;2197;112042128
2;1900;112042141
2;1900;112042363
0;0;0
0;250;0
1;2197;114042392
1;2197;114042660
2;1900;114042672
2;1900;114042943
0;0;0
0;300;0
1;2197;116042972
1;2197;116043290
2;1900;116043303
2;1900;116043623
0;0;0
0;350;0
1;2197;118043652
1;2197;118044020
2;1900;118044033
2;1900;118044403
0;0;0
0;400;0
1;2197;120044432
1;2197;120044850
2;1900;120044862
2;1900;120045283
0;0;0
0;450;0
1;2197;122045312
1;2197;122045780
2;1900;122045792
2;1900;122046263
0;0;0
0;500;0
1;2197;124046292
1;2197;124046810
2;1900;124046822
2;1900;124047343
0;0;0
0;500;126047374
